高等学校,,,,,,,,
,,,,,,,,令和4年4月1日現在
設置者,学校名,よみがな,郵便番号,所在地,電話,ファクシミリ,課程,学科
神奈川県,神奈川県立鶴見高等学校,つるみ,230-0012,横浜市鶴見区下末吉6-2-1,(045)581-4692,(045)584-8505,全日,普通
（本校138校）,神奈川県立鶴見総合高等学校,つるみそうごう,230-0031,横浜市鶴見区平安町2-28-8,(045)506-1234,(045)504-8733,全日単位,総合
,神奈川県立神奈川工業高等学校,かながわこうぎょう,221-0812,横浜市神奈川区平川町19-1,(045)491-9461,(045)413-4101,全日・定時,"（全日）機械・建設・電気・デザイン
（定時）機械・建設・電気"
,神奈川県立神奈川総合高等学校,かながわそうごう,221-0812,横浜市神奈川区平川町19-2,(045)491-2000,(045)491-3190,全日単位,普通・舞台芸術
,神奈川県立横浜翠嵐高等学校,よこはますいらん,221-0854,横浜市神奈川区三ツ沢南町1-1,(045)311-4621,(045)312-9142,全日・定時,普通
,神奈川県立城郷高等学校,しろさと,221-0862,横浜市神奈川区三枚町364-1,(045)382-5254,(045)382-7691,全日,普通
,神奈川県立横浜平沼高等学校,よこはまひらぬま,220-0073,横浜市西区岡野1-5-8,(045)313-9200,(045)311-0519,全日,普通
,神奈川県立横浜緑ケ丘高等学校,よこはまみどりがおか,231-0832,横浜市中区本牧緑ケ丘37-1,(045)621-8641,(045)624-0765,全日,普通
,神奈川県立横浜立野高等学校,よこはまたての,231-0825,横浜市中区本牧間門40-1,(045)621-0261,(045)624-3756,全日,普通
,神奈川県立横浜清陵高等学校,よこはませいりょう,232-0007,横浜市南区清水ケ丘41,(045)242-1926,(045)253-6393,全日単位,普通
,神奈川県立横浜国際高等学校,よこはまこくさい,232-0066,横浜市南区六ツ川1-731,(045)721-1434,(045)742-9493,全日単位,国際
,神奈川県立横浜南陵高等学校,よこはまなんりょう,234-0053,横浜市港南区日野中央2-26-1,(045)842-3764,(045)846-6856,全日,普通
,神奈川県立横浜明朋高等学校,よこはまめいほう,234-0054,横浜市港南区港南台9-18-1,(045)836-1680,(045)835-1248,定時単位,普通
,神奈川県立永谷高等学校,ながや,233-0016,横浜市港南区下永谷1-28-1,(045)824-2126,(045)825-3605,全日,普通
,神奈川県立光陵高等学校,こうりょう,240-0026,横浜市保土ケ谷区権太坂1-7-1,(045)712-5577,(045)742-9717,全日,普通
,神奈川県立商工高等学校,しょうこう,240-0035,横浜市保土ケ谷区今井町743,(045)353-0591,(045)353-1565,全日,総合技術・総合ビジネス
,神奈川県立保土ケ谷高等学校,ほどがや,240-0045,横浜市保土ケ谷区川島町1557,(045)371-7781,(045)371-4560,全日,普通
,神奈川県立希望ケ丘高等学校,きぼうがおか,241-0824,横浜市旭区南希望が丘79-1,(045)391-0061,(045)361-9789,全日・定時,普通
,神奈川県立二俣川看護福祉高等学校,ふたまたがわかんごふくし,241-0815,横浜市旭区中尾1-5-1,(045)391-6165,(045)361-9777,全日,看護・福祉
,神奈川県立旭高等学校,あさひ,241-0806,横浜市旭区下川井町2247-1,(045)953-3301,(045)951-3117,全日,普通
,神奈川県立横浜旭陵高等学校,よこはまきょくりょう,241-0001,横浜市旭区上白根町1161-7,(045)953-1004,(045)951-3151,全日単位,普通
,神奈川県立磯子工業高等学校,いそごこうぎょう,235-0023,横浜市磯子区森5-24-1,(045)761-0251,(045)754-3171,"全日・
定時単位","（全日）機械・電気・建設・化学
（定時単位）総合"
,神奈川県立横浜氷取沢高等学校,よこはまひとりざわ,235-0043,横浜市磯子区氷取沢町938-2,(045)772-0606,(045)776-2468,全日,普通
,神奈川県立金沢総合高等学校,かなざわそうごう,236-0051,横浜市金沢区富岡東6-34-1,(045)773-6771,(045)776-2406,全日単位,総合
,神奈川県立釜利谷高等学校,かまりや,236-0042,横浜市金沢区釜利谷東4-58-1,(045)785-1670,(045)786-4188,全日,普通
,神奈川県立港北高等学校,こうほく,222-0037,横浜市港北区大倉山7-35-1,(045)541-6251,(045)545-7871,全日,普通
,神奈川県立新羽高等学校,にっぱ,223-0057,横浜市港北区新羽町1348,(045)543-8631,(045)545-7794,全日,普通
,神奈川県立岸根高等学校,きしね,222-0034,横浜市港北区岸根町370,(045)401-7872,(045)402-8406,全日,普通
,神奈川県立霧が丘高等学校,きりがおか,226-0016,横浜市緑区霧が丘6-16-1,(045)921-6911,(045)923-0753,全日,普通
,神奈川県立白山高等学校,はくさん,226-0006,横浜市緑区白山4-71-1,(045)933-2231,(045)935-0573,全日,普通・美術
,神奈川県立市ケ尾高等学校,いちがお,225-0024,横浜市青葉区市ケ尾町1854,(045)971-2041,(045)972-6522,全日,普通
,神奈川県立田奈高等学校,たな,227-0034,横浜市青葉区桂台2-39-2,(045)962-3135,(045)962-9039,全日,普通
,神奈川県立元石川高等学校,もといしかわ,225-0004,横浜市青葉区元石川町4116,(045)902-2692,(045)902-8948,全日,普通
,神奈川県立川和高等学校,かわわ,224-0057,横浜市都筑区川和町2226-1,(045)941-2436,(045)942-0826,全日,普通
,神奈川県立荏田高等学校,えだ,224-0007,横浜市都筑区荏田南3-9-1,(045)941-3111,(045)942-0814,全日,普通
,神奈川県立新栄高等学校,しんえい,224-0035,横浜市都筑区新栄町1-1,(045)593-0307,(045)591-5292,全日,普通
,神奈川県立舞岡高等学校,まいおか,244-0814,横浜市戸塚区南舞岡3-36-1,(045)823-8761,(045)825-3573,全日,普通
,神奈川県立横浜桜陽高等学校,よこはまおうよう,245-0062,横浜市戸塚区汲沢町973,(045)862-9343,(045)862-6364,全日単位,普通
,神奈川県立上矢部高等学校,かみやべ,245-0053,横浜市戸塚区上矢部町3230,(045)861-3500,(045)862-6347,全日,普通・美術
,神奈川県立柏陽高等学校,はくよう,247-0004,横浜市栄区柏陽1-1,(045)892-2105,(045)895-0856,全日,普通
,神奈川県立金井高等学校,かない,244-0845,横浜市栄区金井町100,(045)852-4721,(045)852-7748,全日,普通
