,ニュースリスト
0,2019-01-04
1,2825
2,2862.5
3,2792.5
4,2859
5,4262300
6,2859
7,2019-01-07
8,2968
9,3023
10,2965.5
11,3007
12,3664400
13,3007
14,2019-01-08
15,3047
16,3065
17,3019
18,3040
19,3858500
20,3040
21,2019-01-09
22,3078
23,3127
24,3066
25,3094
26,2940100
27,3094
28,2019-01-10
29,3080
30,3108
31,3059
32,3080
33,2874900
34,3080
35,2019-01-11
36,3140
37,3365
38,3101
39,3346
40,12718600
41,3346
42,2019-01-15
43,3345
44,3583
45,3323
46,3583
47,11811800
48,3583
49,2019-01-16
50,3588
51,3590
52,3429
53,3489
54,7732800
55,3489
56,2019-01-17
57,3522
58,3582
59,3469
60,3482
61,4416400
62,3482
63,2019-01-18
64,3412
65,3515
66,3409
67,3475
68,6380600
69,3475
70,2019-01-21
71,3477
72,3508
73,3449
74,3475
75,3527100
76,3475
77,2019-01-22
78,3483
79,3493
80,3428
81,3450
82,2259800
83,3450
84,2019-01-23
85,3447
86,3447
87,3390
88,3390
89,3839200
90,3390
91,2019-01-24
92,3385
93,3427
94,3372
95,3389
96,2993000
97,3389
98,2019-01-25
99,3372
100,3404
101,3360
102,3381
103,3108600
104,3381
105,2019-01-28
106,3388
107,3458
108,3376
109,3427
110,2883100
111,3427
112,2019-01-29
113,3357
114,3403
115,3337
116,3371
117,2997400
118,3371
119,2019-01-30
120,3350
121,3393
122,3350
123,3381
124,3270400
125,3381
126,2019-01-31
127,3458
128,3471
129,3385
130,3413
131,2961100
132,3413
133,2019-02-01
134,3418
135,3441
136,3367
137,3386
138,2603600
139,3386
140,2019-02-04
141,3505
142,3585
143,3500
144,3525
145,6969000
146,3525
147,2019-02-05
148,3525
149,3528
150,3413
151,3430
152,4197700
153,3430
154,2019-02-06
155,3465
156,3553
157,3449
158,3539
159,4260600
160,3539
161,2019-02-07
162,3547
163,3574
164,3476
165,3503
166,3881900
167,3503
168,2019-02-08
169,3433
170,3449
171,3352
172,3365
173,3806000
174,3365
175,2019-02-12
176,3408
177,3443
178,3368
179,3424
180,2984100
181,3424
182,2019-02-13
183,3404
184,3459
185,3391
186,3449
187,3714700
188,3449
189,2019-02-14
190,3449
191,3484
192,3427
193,3441
194,2495900
195,3441
196,2019-02-15
197,3402
198,3423
199,3365
200,3385
201,2597400
202,3385
203,2019-02-18
204,3435
205,3515
206,3435
207,3512
208,2897000
209,3512
210,2019-02-19
211,3496
212,3507
213,3479
214,3498
215,1736700
216,3498
217,2019-02-20
218,3500
219,3505
220,3455
221,3482
222,2782900
223,3482
224,2019-02-21
225,3441
226,3502
227,3440
228,3479
229,2820600
230,3479
231,2019-02-22
232,3425
233,3457
234,3402
235,3452
236,3282500
237,3452
238,2019-02-25
239,3484
240,3507
241,3454
242,3500
243,1961000
244,3500
245,2019-02-26
246,3509
247,3519
248,3457
249,3472
250,1994400
251,3472
252,2019-02-27
253,3456
254,3468
255,3423
256,3433
257,2986800
258,3433
259,2019-02-28
260,3397
261,3405
262,3327
263,3335
264,6131000
265,3335
266,2019-03-01
267,3375
268,3381
269,3334
270,3344
271,2524800
272,3344
273,2019-03-04
274,3400
275,3420
276,3372
277,3393
278,3094200
279,3393
280,2019-03-05
281,3335
282,3362
283,3318
284,3320
285,2871000
286,3320
287,2019-03-06
288,3334
289,3345
290,3316
291,3316
292,2017300
293,3316
294,2019-03-07
295,3270
296,3286
297,3215
298,3233
299,2968700
300,3233
301,2019-03-08
302,3149
303,3211
304,3139
305,3154
306,3595700
307,3154
308,2019-03-11
309,3154
310,3342
311,3154
312,3331
313,6468100
314,3331
315,2019-03-12
316,3367
317,3499
318,3367
319,3467
320,5981100
321,3467
322,2019-03-13
323,3405
324,3415
325,3352
326,3365
327,5225000
328,3365
329,2019-03-14
330,3366
331,3434
332,3366
333,3374
334,3199300
335,3374
336,2019-03-15
337,3407
338,3417
339,3390
340,3394
341,3672300
342,3394
343,2019-03-18
344,3405
345,3438
346,3397
347,3431
348,2495900
349,3431
350,2019-03-19
351,3500
352,3601
353,3454
354,3575
355,6219500
356,3575
357,2019-03-20
358,3510
359,3615
360,3503
361,3610
362,4585200
363,3610
364,2019-03-22
365,3641
366,3754
367,3618
368,3633
369,4604300
370,3633
371,2019-03-25
372,3500
373,3538
374,3473
375,3519
376,4059500
377,3519
378,2019-03-26
379,3518
380,3589
381,3506
382,3568
383,4551000
384,3568
385,2019-03-27
386,3475
387,3572
388,3472
389,3567
390,3251400
391,3567
392,2019-03-28
393,3537
394,3548
395,3503
396,3541
397,2781000
398,3541
399,2019-03-29
400,3581
401,3616
402,3568
403,3585
404,3769400
405,3585
406,2019-04-01
407,3608
408,3702
409,3608
410,3669
411,3718600
412,3669
413,2019-04-02
414,3734
415,3753
416,3709
417,3728
418,5168800
419,3728
420,2019-04-03
421,3755
422,3785
423,3744
424,3756
425,4238900
426,3756
427,2019-04-04
428,3795
429,3806
430,3698
431,3698
432,4792700
433,3698
434,2019-04-05
435,3710
436,3780
437,3703
438,3775
439,3163500
440,3775
441,2019-04-08
442,3799
443,3804
444,3713
445,3727
446,3518000
447,3727
448,2019-04-09
449,3703
450,3740
451,3677
452,3738
453,2216000
454,3738
455,2019-04-10
456,3672
457,3693
458,3643
459,3677
460,3326100
461,3677
462,2019-04-11
463,3653
464,3665
465,3607
466,3640
467,3888100
468,3640
469,2019-04-12
470,3639
471,3652
472,3614
473,3623
474,2647600
475,3623
476,2019-04-15
477,3695
478,3716
479,3651
480,3655
481,2144200
482,3655
483,2019-04-16
484,3650
485,3702
486,3636
487,3700
488,3692800
489,3700
490,2019-04-17
491,3770
492,3783
493,3737
494,3761
495,3841800
496,3761
497,2019-04-18
498,3798
499,3808
500,3669
501,3680
502,3444600
503,3680
504,2019-04-19
505,3695
506,3703
507,3635
508,3645
509,2343400
510,3645
511,2019-04-22
512,3621
513,3660
514,3601
515,3647
516,2160100
517,3647
518,2019-04-23
519,3675
520,3681
521,3636
522,3651
523,2509800
524,3651
525,2019-04-24
526,3678
527,3682
528,3580
529,3599
530,3295500
531,3599
532,2019-04-25
533,3623
534,3685
535,3622
536,3667
537,2803000
538,3667
539,2019-04-26
540,3620
541,3700
542,3612
543,3689
544,3435200
545,3689
546,2019-05-07
547,3834
548,3855
549,3766
550,3824
551,9346200
552,3824
553,2019-05-08
554,3757
555,3757
556,3679
557,3700
558,5396200
559,3700
560,2019-05-09
561,3668
562,3716
563,3647
564,3684
565,3416800
566,3684
567,2019-05-10
568,3681
569,3764
570,3653
571,3683
572,4449400
573,3683
574,2019-05-13
575,3692
576,3735
577,3674
578,3706
579,3722300
580,3706
581,2019-05-14
582,3566
583,3744
584,3560
585,3726
586,4418700
587,3726
588,2019-05-15
589,3793
590,3825
591,3702
592,3824
593,4467500
594,3824
595,2019-05-16
596,3800
597,3800
598,3716
599,3774
600,3535000
601,3774
602,2019-05-17
603,3779
604,3797
605,3723
606,3735
607,3647900
608,3735
609,2019-05-20
610,3705
611,3709
612,3651
613,3693
614,3461000
615,3693
616,2019-05-21
617,3688
618,3718
619,3648
620,3714
621,3318400
622,3714
623,2019-05-22
624,3743
625,3753
626,3658
627,3665
628,3022000
629,3665
630,2019-05-23
631,3627
632,3647
633,3560
634,3599
635,4351900
636,3599
637,2019-05-24
638,3551
639,3628
640,3516
641,3622
642,3319400
643,3622
644,2019-05-27
645,3630
646,3703
647,3630
648,3696
649,2806700
650,3696
651,2019-05-28
652,3726
653,3815
654,3723
655,3794
656,8370900
657,3794
658,2019-05-29
659,3750
660,3780
661,3728
662,3768
663,4723500
664,3768
665,2019-05-30
666,3712
667,3750
668,3696
669,3707
670,3336300
671,3707
672,2019-05-31
673,3705
674,3711
675,3665
676,3686
677,4585700
678,3686
679,2019-06-03
680,3624
681,3710
682,3623
683,3709
684,3778600
685,3709
686,2019-06-04
687,3719
688,3770
689,3712
690,3770
691,4993300
692,3770
693,2019-06-05
694,3825
695,3830
696,3777
697,3789
698,4706100
699,3789
700,2019-06-06
701,3791
702,3808
703,3780
704,3800
705,2501400
706,3800
707,2019-06-07
708,3792
709,3843
710,3791
711,3837
712,2746100
713,3837
714,2019-06-10
715,3913
716,4003
717,3911
718,3996
719,5764500
720,3996
721,2019-06-11
722,4031
723,4091
724,4023
725,4045
726,4690300
727,4045
728,2019-06-12
729,4010
730,4074
731,3998
732,4000
733,3137900
734,4000
735,2019-06-13
736,4000
737,4005
738,3934
739,3965
740,2931100
741,3965
742,2019-06-14
743,4009
744,4018
745,3982
746,4005
747,3473900
748,4005
749,2019-06-17
750,3962
751,3979
752,3941
753,3967
754,2603300
755,3967
756,2019-06-18
757,3967
758,3968
759,3896
760,3911
761,3077100
762,3911
763,2019-06-19
764,3960
765,4016
766,3943
767,3967
768,3432900
769,3967
770,2019-06-20
771,3987
772,3994
773,3920
774,3970
775,2301000
776,3970
777,2019-06-21
778,3950
779,3986
780,3905
781,3935
782,3900300
783,3935
784,2019-06-24
785,3910
786,3962
787,3906
788,3949
789,1755800
790,3949
791,2019-06-25
792,3942
793,3957
794,3902
795,3905
796,2152500
797,3905
798,2019-06-26
799,3921
800,3921
801,3884
802,3893
803,2014900
804,3893
805,2019-06-27
806,3934
807,3974
808,3911
809,3959
810,3009200
811,3959
812,2019-06-28
813,3989
814,3998
815,3937
816,3949
817,3237500
818,3949
819,2019-07-01
820,4028
821,4047
822,3985
823,4045
824,2712800
825,4045
826,2019-07-02
827,4056
828,4177
829,4055
830,4176
831,5221800
832,4176
833,2019-07-03
834,4160
835,4169
836,4125
837,4150
838,3938800
839,4150
840,2019-07-04
841,4175
842,4198
843,4154
844,4170
845,2044400
846,4170
847,2019-07-05
848,4180
849,4180
850,4137
851,4145
852,2474000
853,4145
854,2019-07-08
855,4143
856,4143
857,4081
858,4108
859,3051300
860,4108
861,2019-07-09
862,4108
863,4119
864,4084
865,4101
866,2308100
867,4101
868,2019-07-10
869,4101
870,4102
871,4043
872,4057
873,2747800
874,4057
875,2019-07-11
876,4060
877,4081
878,4035
879,4048
880,2986300
881,4048
882,2019-07-12
883,4060
884,4065
885,4021
886,4035
887,1557000
888,4035
889,2019-07-16
890,4010
891,4031
892,3983
893,4020
894,2476800
895,4020
896,2019-07-17
897,4015
898,4020
899,3963
900,3967
901,2902500
902,3967
903,2019-07-18
904,3897
905,3948
906,3858
907,3882
908,4648600
909,3882
910,2019-07-19
911,3848
912,3974
913,3839
914,3963
915,3936100
916,3963
917,2019-07-22
918,3950
919,3972
920,3923
921,3946
922,2015100
923,3946
924,2019-07-23
925,3975
926,4003
927,3956
928,3988
929,1849400
930,3988
931,2019-07-24
932,4077
933,4080
934,4015
935,4040
936,2067600
937,4040
938,2019-07-25
939,4035
940,4064
941,3964
942,3977
943,2185400
944,3977
945,2019-07-26
946,3960
947,3967
948,3886
949,3932
950,2628800
951,3932
952,2019-07-29
953,3885
954,3889
955,3804
956,3830
957,4739800
958,3830
959,2019-07-30
960,3890
961,3998
962,3874
963,3944
964,4999300
965,3944
966,2019-07-31
967,3870
968,3924
969,3859
970,3892
971,3312200
972,3892
973,2019-08-01
974,3902
975,3921
976,3862
977,3880
978,2252100
979,3880
980,2019-08-02
981,3810
982,3869
983,3776
984,3824
985,4439800
986,3824
987,2019-08-05
988,3787
989,3799
990,3686
991,3705
992,4277400
993,3705
994,2019-08-06
995,3595
996,3675
997,3582
998,3659
999,4814300
1000,3659
1001,2019-08-07
1002,3668
1003,3708
1004,3634
1005,3688
1006,2864900
1007,3688
1008,2019-08-08
1009,3665
1010,3686
1011,3629
1012,3659
1013,2923800
1014,3659
1015,2019-08-09
1016,3698
1017,3731
1018,3684
1019,3704
1020,3107500
1021,3704
1022,2019-08-13
1023,3700
1024,3708
1025,3631
1026,3677
1027,3125900
1028,3677
